Year,Title,Description,Category,Display Date,Media,Media Credit,Media Caption
1889,First Korean Objects Enter The Met Collection,"The Met received its first Korean objects through the Crosby Brown Collection. The donation included eight Korean musical instruments, marking the beginning of the museum's Korean collection.",,1889,https://collectionapi.metmuseum.org/api/collection/v1/iiif/500724/1027632/main-image,The Metropolitan Museum of Art,"Haegŭm (해금), 19th century Korean bowed string instrument from the Crosby Brown Collection, acquired in 1889"
1893,Early Korean Ceramics Acquired,"The Met acquired a fifteenth-century Buncheong ware bowl known as ""Gyeongju Jangheunggo,"" one of the museum's earliest Korean ceramic acquisitions.",,1893,https://collectionapi.metmuseum.org/api/collection/v1/iiif/57354/181002/main-image,The Metropolitan Museum of Art,"Buncheong ware dish with chrysanthemum motifs and the inscription ""Gyeongju Jangheunggo,"" acquired by The Met in 1893"
1998,Opening of the Arts of Korea Gallery,The permanent Arts of Korea Gallery officially opened in June 1998 with support from the Korea Foundation and the Samsung Foundation of Culture.,,June 1998,https://cdn.sanity.io/images/cctd4ker/production/6c22324e2083284788134f815c5c5f17e6615cc8-250x355.jpg?w=640&q=75&fit=clip&auto=format,The Metropolitan Museum of Art,"Cover of Arts of Korea, the publication accompanying the opening of The Met's permanent Arts of Korea Gallery in 1998"
2009,"Art of the Korean Renaissance, 1400–1600","This international loan exhibition presented works from the early Joseon dynasty, including painting, ceramics, sculpture, lacquerware, and metalwork.",Exhibition,"Mar. 17, 2009 – Jun. 21, 2009",https://cdn.sanity.io/images/cctd4ker/production/1e16952ff500d0f8894fb3a5cb530d370ef94fa1-250x309.jpg?w=640&q=75&fit=clip&auto=format,The Metropolitan Museum of Art,"Cover of Art of the Korean Renaissance, 1400–1600, published alongside the 2009 exhibition at The Met"
2013,Silla: Korea's Golden Kingdom,"This exhibition focused on the art and culture of the Silla kingdom and featured royal gold regalia, Buddhist art, and objects related to Silk Road exchange.",Exhibition,"Nov. 4, 2013 – Feb. 23, 2014",https://static01.nyt.com/images/2013/11/08/arts/SILLA1_SPAN/SILLA1-superJumbo.jpg,The New York Times,A bronze bodhisattva from the seventh century displayed in Silla: Korea's Golden Kingdom at The Metropolitan Museum of Art
2015,Korea: 100 Years of Collecting at The Met,This exhibition reflected on one hundred years of collecting Korean art at The Met and examined how the museum's Korean collection expanded over time.,Exhibition,"Feb. 7, 2015 – Mar. 27, 2016",https://collectionapi.metmuseum.org/api/collection/v1/iiif/72485/1493507/main-image,The Metropolitan Museum of Art,"Seated bodhisattva (left attendant of a triad), featured in Korea: 100 Years of Collecting at The Met"
2018,Diamond Mountains: Travel and Nostalgia in Korean Art,"This exhibition explored the cultural meaning of Korea's Diamond Mountains through paintings, photographs, ceramics, and contemporary artworks.",Exhibition,Feb. 7 – May 20, 2018,https://www.youtube.com/watch?v=S9lSsLCCQpU&t=3s,The Metropolitan Museum of Art,Video introduction to Diamond Mountains: Travel and Nostalgia in Korean Art at The Metropolitan Museum of Art
2021,Shell and Resin: Korean Mother-of-Pearl and Lacquer,This exhibition examined the history and craftsmanship of Korean mother-of-pearl lacquerware from the Joseon dynasty to the modern period.,Exhibition,"Dec. 13, 2021 – Jul. 5, 2022",https://cdn.sanity.io/images/cctd4ker/production/f5d8ac247b58d7274b1f6a0bcb8ac806772dc87f-1920x983.jpg?w=2048&q=75&auto=format,The Metropolitan Museum of Art,"Trefoil-shaped covered box with chrysanthemum decoration, featured in Shell and Resin: Korean Mother-of-Pearl and Lacquer"
2022,Jegi: Korean Ritual Objects,This exhibition introduced Korean ritual vessels known as jegi and explored their historical and ceremonial significance.,Exhibition,"Aug. 6, 2022 – Oct. 11, 2023",https://www.nyculturebeat.com/files/attach/images/3947428/470/088/004/abbad8894f375b5d9748568063592328.jpg,NYCultureBeat,Installation view of the exhibition Jegi: Korean Ritual Objects
2023,Lineages: Korean Art at The Met,"This exhibition commemorated the twenty-fifth anniversary of The Met's Korean Gallery and presented works from the twelfth century to contemporary Korean art through themes such as lines, people, places, and objects.",Exhibition,"Nov. 7, 2023 – Oct. 20, 2024",https://cdn.sanity.io/images/cctd4ker/production/0e94da29c1f8cf8a5b4a08014fef38f11386dc14-250x323.jpg?w=3840&q=75&fit=clip&auto=format,The Metropolitan Museum of Art,Exhibition poster for Lineages: Korean Art at The Met
2024,Colorful Korea: The Lea R. Sneider Collection,"This exhibition presents approximately one hundred works from the fifth century to the present from the Lea R. Sneider Collection, highlighting the colorful material culture and everyday aesthetics of Korean art.",Exhibition,"Dec. 2, 2024 – Feb. 16, 2026",http://www.nyculturebeat.com/files/attach/images/3947432/162/135/004/94364662bfa937c3f7ab76d0026e639b.jpg,NYCultureBeat,"Lea R. Sneider standing in front of a Jogakbo (patchwork wrapping cloth), reflecting her interest in Korean art and material culture"
